City,State/Province,County,Date,Latitude,Longitude,year,month,day,season,Count
Gering,NE,SCOTTS BLUFF,2015-07-20,41.8,-103.7,2015,7,20,Summer,4
Hadley,MA,HAMPSHIRE,2015-07-20,42.4,-72.6,2015,7,20,Summer,2
fremont,OH,SANDUSKY,2015-07-20,41.4,-83.1,2015,7,20,Summer,1
Farmington,MN,DAKOTA,2015-07-20,44.7,-93.1,2015,7,20,Summer,3
Calais,VT,WASHINGTON,2015-07-20,44.4,-72.5,2015,7,20,Summer,1
Perrysburg,OH,WOOD,2015-07-20,41.5,-83.6,2015,7,20,Summer,1
staten island,NY,RICHMOND,2015-07-20,40.6,-74.1,2015,7,20,Summer,2
Derwood,MD,MONTGOMERY,2015-07-20,39.1,-77.1,2015,7,20,Summer,4
Holland,MI,OTTAWA,2015-07-20,42.7,-86.1,2015,7,20,Summer,1
trenton,NJ,MERCER,2015-07-20,40.2,-74.8,2015,7,20,Summer,19
trenton,NJ,BURLINGTON,2015-07-20,40.2,-74.8,2015,7,20,Summer,3
Mount Pleasant,MI,ISABELLA,2015-07-20,43.6,-84.8,2015,7,20,Summer,3
Mount Pleasant,MI,ISABELLA,2015-07-21,43.6,-84.8,2015,7,21,Summer,3
Minneapolis,MN,HENNEPIN,2015-07-21,45.0,-93.3,2015,7,21,Summer,93
Menomonie,WI,DUNN,2015-07-21,44.7,-91.8,2015,7,21,Summer,4
Silver Spring,MD,MONTGOMERY,2015-07-21,39.0,-77.0,2015,7,21,Summer,13
Pawleys Island,SC,GEORGETOWN,2015-07-21,33.4,-79.2,2015,7,21,Summer,15
Champaign,IL,CHAMPAIGN,2015-07-21,40.1,-88.2,2015,7,21,Summer,6
Farmington,MN,DAKOTA,2015-07-21,44.7,-93.1,2015,7,21,Summer,2
Mer Rouge,LA,MOREHOUSE,2015-07-21,32.8,-91.7,2015,7,21,Summer,3
Millersville,MD,ANNE ARUNDEL,2015-07-21,39.1,-76.6,2015,7,21,Summer,2
wahoo,NE,SAUNDERS,2015-07-21,41.2,-96.6,2015,7,21,Summer,2
Holland,MI,OTTAWA,2015-07-21,42.7,-86.1,2015,7,21,Summer,3
Hobart,IN,LAKE,2015-07-21,41.5,-87.2,2015,7,21,Summer,4
Los Alamos,NM,LOS ALAMOS,2015-07-21,35.9,-106.3,2015,7,21,Summer,4
Minneapolis,MN,ANOKA,2015-07-21,45.0,-93.3,2015,7,21,Summer,36
Chicago,IL,COOK,2015-07-21,41.9,-87.6,2015,7,21,Summer,58
ypsilanti,MI,WASHTENAW,2015-07-21,42.2,-83.6,2015,7,21,Summer,10
