city,state,county,count,FIPS,cleaned_county
Hillsboro,ND,TRAILL,2,38097,TRAILL
Hillsboro,OR,WASHINGTON,1,41067,WASHINGTON
Hilton Head Island,SC,BEAUFORT,6,45013,BEAUFORT
Hingham,MA,PLYMOUTH,4,25023,PLYMOUTH
Hinsdale,IL,DUPAGE,2,17043,DUPAGE
Hobart,IN,LAKE,2,18089,LAKE
Holland,MI,OTTAWA,1,26139,OTTAWA
Holt,MI,INGHAM,1,26065,INGHAM
Homewood,IL,COOK,1,17031,COOK
Hookstown,PA,BEAVER,1,42007,BEAVER
Hopewell Junction,NY,DUTCHESS,2,36027,DUTCHESS
Horsham,PA,MONTGOMERY,2,42091,MONTGOMERY
Houma,LA,TERREBONNE,2,,
Houston,TX,HARRIS,12,48201,HARRIS
Howard Lake,MN,WRIGHT,1,27171,WRIGHT
Howe,OK,LE FLORE,1,40079,LE FLORE
Hubbard Lake,MI,ALPENA,1,26007,ALPENA
Hudson,NC,CALDWELL,1,37027,CALDWELL
Hudson,NY,COLUMBIA,2,36021,COLUMBIA
Hudson,WI,ST. CROIX,3,55109,ST. CROIX
